Index,Doppler
0,1.953125
1,2.115885417
2,3.083683894
3,3.632597871
4,4.557066081
5,7.290571548
6,8.593357235
7,9.804755024
8,10.97126763
9,11.71585677
10,11.2154704
11,11.71196264
12,11.97104577
13,11.98856163
14,12.17063165
15,12.72457831
16,13.24391193
17,13.81870198
18,14.08809854
19,14.07514678
20,14.22257568
21,14.48746924
22,14.81944437
23,14.83289786
24,14.78724068
25,14.55602868
26,14.42186219
27,14.42381767
28,14.56911149
29,14.24618074
30,14.01000269
31,13.76521128
32,13.73853274
33,13.78037834
34,13.81057152
35,14.22109513
36,13.8550672
37,13.34007853
38,12.80458686
39,12.38477723
40,12.08844103
41,11.62706642
42,11.1855554
43,10.70238547
44,10.13160153
45,9.595430623
46,9.012221924
47,8.725988088
48,8.577690467
49,8.278726001
50,7.963320591
51,7.488228547
52,7.223580973
53,6.726300485
54,6.284021101
55,5.917993178
56,5.455706332
57,4.892877395
58,4.588098144
59,4.216246143
60,3.891463787
61,3.397672153
62,2.774940234
63,2.462121212
64,2.031698994
65,1.888582076
66,1.888582076
67,1.930675287
68,1.975829823
69,2.017923034
70,2.051597603
71,2.085272172
72,2.110528099
73,2.127365383
74,2.135784026
75,2.135784026
76,2.135784026
77,2.135784026
78,2.127365383
79,2.118946741
80,2.102109457
81,2.102109457
82,2.102109457
83,2.102109457
84,2.118946741
85,2.127365383
86,2.118946741
87,2.096497028
88,2.074047316
89,2.0908846
90,2.141396454
91,2.200326949
92,2.208745592
93,2.292932014
94,2.357124161
95,2.483403795
96,2.559171575
97,2.58978482
98,2.673971242
99,2.766576307
100,2.867600013
101,2.951786436
102,3.209219654
103,3.387213804
104,3.601889181
105,3.770863358
106,3.85504978
107,3.919993592
108,3.894737665
109,3.995761372
110,4.111217037
111,4.203822102
112,4.370252183
113,4.572299597
114,4.656486019
115,4.740672441
116,4.788378081
117,4.82205265
118,4.864145861
119,4.926177962
120,5.100011547
121,5.247181886
122,5.337174268
123,5.503601897
124,5.499775241
125,5.53344981
126,5.482937957
127,5.45768203
128,5.394218419
129,5.343706566
130,5.301613355
131,5.136785201
132,5.160838465
133,5.232396924
134,5.156027812
135,5.265470161
136,5.247800264
137,5.289893475
138,5.222544337
139,5.166019168
140,5.197131541
141,5.039120102
142,4.848552655
143,4.764366233
144,4.711048165
145,4.663342526
146,4.629667957
147,4.573798786
148,4.469673474
149,4.248389359
150,4.104280345
151,3.938520182
152,3.716319049
153,3.593866071
154,3.484423722
155,3.492842364
156,3.425493226
157,3.396351772
158,3.345839919
159,3.31216535
160,3.227978927
161,3.034350156
162,2.756534962
163,2.672348539
164,2.48713841
165,2.468181747
166,2.471243072
167,2.465885754
168,2.4153739
169,2.300075104
170,2.300075104
171,2.288595138
172,2.288595138
173,2.266145425
174,2.266145425
175,2.277625392
176,2.295286879
177,2.295286879
178,2.283806912
179,2.272326946
180,2.272326946
181,2.272326946
182,2.272326946
183,2.272326946
184,2.272326946
185,2.272326946
186,2.272326946
187,2.272326946
188,2.272326946
189,2.322838799
190,2.403283603
191,2.521144594
192,2.630586943
193,2.798959788
194,3.078608217
195,3.538572216
196,3.877410852
197,4.147228336
198,4.46292742
199,4.690792003
200,4.884420775
201,5.282837913
202,5.455887782
203,5.80220011
204,6.061800424
205,6.29230762
206,6.622793294
207,6.88924332
208,7.160487867
209,7.555805812
210,8.046893276
211,8.544216772
212,9.114922403
213,9.620484023
214,10.11681789
215,10.34917241
216,10.47545205
217,10.70275539
218,10.75700886
219,10.94616594
220,11.31698709
221,11.5190345
222,11.58539321
223,11.6980229
224,11.75154141
225,11.84741084
226,11.96246827
227,11.98198421
228,11.90565519
229,12.07285334
230,12.1363868
231,12.32112923
232,12.28501149
233,12.34930642
234,12.50246154
235,12.47734298
236,12.42977765
237,12.45279402
238,12.35623521
239,12.02510195
240,11.62038352
241,11.11702702
242,10.64513997
243,10.14880611
244,9.959747454
245,9.86714239
246,9.639839049
247,9.541808637
248,9.289044037
249,8.829503353
250,8.51801359
251,8.283282036
252,7.879523954
253,7.354561477
254,6.908373439
255,6.515079888
256,6.17986486
257,6.078841153
258,5.747155685
259,5.344135578
260,4.994761925
261,4.684567338
262,4.340773483
263,3.919551072
264,3.614183958
265,3.39529926
266,3.101038346
267,2.802279213
268,2.633906368
269,2.541301304
270,2.473952166
271,2.454818888
272,2.477268601
273,2.433972726
274,2.400298157
275,2.400298157
276,2.393563244
277,2.376725959
278,2.347584505
279,2.347584505
280,2.347584505
281,2.347584505
282,2.347584505
283,2.347584505
284,2.356003147
285,2.356003147
286,2.305491294
287,2.27634984
288,2.217419344
289,2.20058206
290,2.20058206
291,2.20058206
292,2.20058206
293,2.192163418
294,2.209000702
295,2.225837987
296,2.267931198
297,2.343698978
298,2.431627019
299,2.47372023
300,2.551784004
301,2.713341757
302,2.836113623
303,3.004486468
304,3.105510175
305,3.12234746
306,3.156022029
307,3.231789809
308,3.307557589
309,3.542227241
310,3.607100308
311,3.674449446
312,3.733379942
313,3.758635868
314,3.775473153
315,3.783891795
316,3.798433086
317,3.840526297
318,4.017317785
319,4.082190851
320,4.183214558
