Index,Doppler
0,2.197265625
1,2.034505208
2,2.834154212
3,3.53362882
4,5.334871158
5,6.635805935
6,8.617439972
7,9.865005823
8,10.3592552
9,10.96841908
10,11.50754117
11,11.69531086
12,12.00940247
13,12.18710346
14,11.99493406
15,12.24749333
16,12.49524194
17,12.66010702
18,12.76954937
19,12.87652103
20,12.84284646
21,12.91631825
22,12.65701678
23,12.63035774
24,12.52227451
25,12.54592168
26,12.20192995
27,12.08536806
28,11.86036071
29,11.76340118
30,11.74796351
31,11.79474212
32,11.69004483
33,11.41285991
34,11.4123339
35,11.14734712
36,10.85269464
37,10.52471121
38,10.10293723
39,9.632579544
40,9.298359447
41,8.790434699
42,8.505986635
43,8.285231127
44,8.03267186
45,7.784923246
46,7.620058168
47,7.493778535
48,7.260161212
49,7.201230717
50,6.999183303
51,6.869696568
52,6.633974585
53,6.409740109
54,6.069500969
55,5.761168197
56,5.335629658
57,4.990465326
58,4.569533214
59,4.196854295
60,3.711231564
61,3.354587265
62,3.114273296
63,2.65828651
64,2.367642908
65,2.258200559
66,2.190851421
67,2.182432779
68,2.157176852
69,2.157176852
70,2.14875821
71,2.14875821
72,2.157176852
73,2.157176852
74,2.165595495
75,2.188555428
76,2.19697407
77,2.205392713
78,2.213811355
79,2.247485924
80,2.27274185
81,2.27274185
82,2.234256629
83,2.203388274
84,2.220225558
85,2.228644201
86,2.220225558
87,2.220225558
88,2.220225558
89,2.228644201
90,2.279156054
91,2.329667908
92,2.388598403
93,2.599064459
94,2.851623726
95,3.019996571
96,3.247299912
97,3.607547644
98,3.700152709
99,3.759083205
100,3.809595058
101,3.945058665
102,4.072741406
103,4.200424147
104,4.303743847
105,4.522883655
106,4.637683322
107,4.757374453
108,4.772528009
109,4.823039863
110,4.920696113
111,5.089068958
112,5.232185876
113,5.358465509
114,5.433790203
115,5.471350299
116,5.479768941
117,5.673397713
118,5.89151708
119,6.000959429
120,6.115160141
121,6.25827706
122,6.610517931
123,6.773278348
124,6.792921847
125,6.686041693
126,6.430425657
127,6.430425657
128,6.442452289
129,6.425615004
130,6.315407324
131,6.255073721
132,6.396787532
133,6.405206174
134,6.384287124
135,6.378929806
136,6.335006455
137,6.294596973
138,6.218829192
139,6.135714234
140,5.975760031
141,5.852541722
142,5.717843446
143,5.645580077
144,5.627918589
145,5.630979914
146,5.437351142
147,5.227650417
148,5.092952142
149,4.936658218
150,4.743029447
151,4.211190874
152,3.833431286
153,3.656894909
154,3.544890365
155,3.451738635
156,3.35913357
157,3.296595085
158,3.262920516
159,3.249144556
160,3.181795418
161,2.912398866
162,2.786119233
163,2.587898475
164,2.478456125
165,2.420928737
166,2.412510095
167,2.412510095
168,2.397968803
169,2.389550161
170,2.389550161
171,2.381131519
172,2.369651552
173,2.358171586
174,2.346691619
175,2.338272977
176,2.321435692
177,2.338272977
178,2.376758198
179,2.452525978
180,2.529095534
181,2.693582852
182,2.808382519
183,2.959918079
184,3.007368608
185,3.036510062
186,3.036510062
187,3.041561247
188,3.059222734
189,3.059222734
190,3.115347016
191,3.132184301
192,3.242391981
193,3.571245193
194,4.041513583
195,4.465476406
196,4.943072456
197,5.388936701
198,6.043418243
199,6.465174558
200,6.768967276
201,7.360376894
202,7.801887909
203,8.168196738
204,8.733929497
205,9.180594062
206,9.601083088
207,10.03339424
208,10.27716884
209,10.46992739
210,10.70969032
211,11.00821083
212,11.3009925
213,11.59637703
214,11.9020385
215,12.22363064
216,12.47955736
217,12.61878875
218,12.66761688
219,12.70409766
220,12.9758687
221,13.14895812
222,13.08950146
223,12.82829602
224,12.76955897
225,12.67674439
226,12.67778467
227,12.51461509
228,12.43327805
229,12.46033797
230,12.36562825
231,12.14631837
232,12.23495296
233,11.95693968
234,11.82008115
235,11.66402384
236,11.44844525
237,11.51205902
238,11.34936705
239,11.02010066
240,10.70221728
241,10.29157462
242,9.937259589
243,9.602456663
244,9.289283172
245,9.01988662
246,8.859932418
247,8.811104293
248,8.718499228
249,8.429890903
250,8.218476055
251,7.96055947
252,7.744736097
253,7.387928962
254,7.050853129
255,6.60394861
256,6.112636649
257,5.77221737
258,5.44136473
259,4.944664838
260,4.722463704
261,4.267520278
262,3.979800799
263,3.678413407
264,3.380307126
265,3.12508934
266,2.741933187
267,2.638103266
268,2.542396596
269,2.43547984
270,2.393386629
271,2.422528083
272,2.422528083
273,2.425589407
274,2.445488016
275,2.459519086
276,2.48866054
277,2.48866054
278,2.48866054
279,2.416778287
280,2.405298321
281,2.413461852
282,2.40504321
283,2.357337571
284,2.357337571
285,2.368817538
286,2.357337571
287,2.357337571
288,2.357337571
289,2.357337571
290,2.357337571
291,2.365756213
292,2.365756213
293,2.365756213
294,2.365756213
295,2.365756213
296,2.348918929
297,2.508873131
298,2.81593203
299,3.017979444
300,3.220470918
301,3.344645891
302,3.469547928
303,3.603991094
304,3.699845459
305,3.740859357
306,3.782952568
307,3.785057229
308,3.936592789
309,4.108158912
310,4.366762333
311,4.54355382
312,4.535135178
313,4.54355382
314,4.607841633
315,4.649934844
316,4.679076298
317,4.726781938
318,4.950618779
319,5.001130632
320,5.14424755
321,5.270527184
322,5.48099324
323,5.59120092
324,5.762767043
325,5.84190228
326,5.774553142
327,5.56851795
328,5.423296372
329,5.225338013
330,5.143256251
331,5.25713752
332,5.309188265
333,5.291907895
334,5.497229225
335,5.613887553
336,5.763318453
337,5.704387957
338,5.692776037
339,5.768607306
340,5.751770021
341,6.058294944
342,6.374262708
343,6.416355919
344,6.458449131
