,Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi,current_status,handover_decision
369,1089,961,42,100,-28,0,0,0
370,1088,962,42,100,-30,0,0,0
371,1087,965,42,100,-27,0,0,0
372,1090,962,42,100,-28,0,0,0
373,1090,962,41,100,-28,0,0,0
374,1089,961,42,100,-28,0,0,0
375,1088,965,27,100,-29,0,0,0
376,1090,963,41,100,-29,0,0,0
377,1089,960,42,100,-29,0,0,0
378,1088,962,39,100,-27,0,0,0
379,1089,963,42,100,-29,0,0,0
380,1089,965,42,100,-29,0,0,0
381,1090,963,42,100,-28,0,0,0
382,1089,962,41,100,-27,0,0,0
383,1063,988,23,100,-28,0,0,0
384,1032,1016,2,96,-33,0,0,3
385,1031,1017,1,88,-32,0,1,2
386,1033,1016,2,85,-33,0,1,2
387,1036,1016,2,86,-33,0,1,2
388,1031,1016,1,85,-34,0,1,2
389,1036,1018,1,85,-34,0,1,2
390,1035,1016,1,85,-34,0,1,2
391,1033,1016,2,86,-28,0,1,2
392,1073,994,4,85,-29,0,1,2
393,1074,976,31,100,-27,0,1,1
394,1070,980,19,100,-27,0,0,0
395,1072,980,30,100,-27,0,0,0
396,1070,976,15,100,-27,0,0,0
397,1073,977,31,100,-27,0,0,0
398,1073,976,31,100,-27,0,0,0
399,1073,980,21,100,-27,0,0,0
400,1075,978,31,100,-27,0,0,0
401,1072,979,30,100,-27,0,0,0
402,1077,976,31,100,-27,0,0,0
403,1072,979,27,100,-27,0,0,0
404,1076,979,31,100,-27,0,0,0
405,1072,977,30,100,-27,0,0,0
406,1067,984,25,100,-31,0,0,0
407,1069,984,28,86,-33,0,0,0
408,1035,1017,2,86,-33,0,0,3
409,1050,996,3,96,-30,0,1,2
410,1035,1018,2,85,-33,0,1,2
411,1035,1016,2,88,-32,0,1,2
412,1034,1016,2,85,-33,0,1,2
413,1035,1016,2,88,-33,0,1,2
414,1033,1017,2,84,-33,0,1,2
415,1036,1016,2,84,-26,0,1,2
416,1104,946,52,99,-23,0,1,1
417,1104,945,52,100,-23,0,0,0
418,1105,946,47,100,-24,0,0,0
419,1105,946,50,100,-23,0,0,0
