,Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi,previous_status,handover_decision
0,1035,1016,3,85,-21,0,1,2
1,1891,90,561,95,-20,0,1,1
2,1035,1013,3,100,-20,0,0,3
3,1899,112,497,99,-24,0,1,1
4,1872,220,583,100,-20,0,0,0
5,1867,223,581,100,-20,0,0,0
6,1868,223,581,100,-20,0,0,0
7,1872,223,582,100,-20,0,0,0
8,1036,1016,2,100,-20,0,0,3
9,1034,1016,2,85,-21,0,1,2
10,1036,1016,2,86,-21,0,1,2
11,1033,1016,2,85,-21,0,1,2
12,1036,1017,3,84,-21,0,1,2
13,1891,188,569,100,-20,0,1,1
14,1894,224,572,100,-20,0,0,0
15,1868,197,582,100,-20,0,0,0
16,1872,190,548,100,-20,0,0,0
17,1899,173,561,100,-20,0,0,0
18,1867,220,584,100,-20,0,0,0
19,1895,197,560,100,-20,0,0,0
20,1885,187,583,100,-20,0,0,0
21,1869,223,538,100,-20,0,0,0
22,1896,218,580,100,-20,0,0,0
23,1888,189,495,100,-20,0,0,0
24,1035,1016,2,100,-21,0,0,3
25,1037,1018,2,100,-23,0,1,2
26,1036,1016,2,85,-23,0,1,2
27,1035,1016,2,84,-23,0,1,2
28,1034,1017,2,84,-23,0,1,2
29,1031,1017,2,85,-23,0,1,2
30,1034,1018,2,85,-23,0,1,2
31,1867,225,577,85,-22,0,1,1
32,1863,209,567,100,-20,0,0,0
33,1867,223,582,100,-20,0,0,0
34,1893,188,442,100,-20,0,0,0
35,1880,220,582,100,-20,0,0,0
36,1870,222,583,100,-20,0,0,0
37,1867,219,581,100,-20,0,0,0
38,1876,218,583,100,-20,0,0,0
39,1869,222,581,100,-20,0,0,0
40,1874,223,583,100,-20,0,0,0
41,1033,1016,2,100,-20,0,0,3
42,1035,1016,2,100,-20,0,1,2
43,1064,991,4,86,-22,0,1,2
44,1031,1019,2,96,-21,0,1,2
45,1034,1017,2,84,-22,0,1,2
46,1037,1017,2,84,-22,0,1,2
47,1034,1017,2,86,-22,0,1,2
48,1034,1017,2,85,-22,0,1,2
49,1035,1015,3,85,-22,0,1,2
50,1897,175,516,95,-21,0,1,1
51,1865,224,579,100,-20,0,0,0
52,1879,223,581,100,-20,0,0,0
53,1876,223,582,100,-20,0,0,0
54,1872,220,584,100,-20,0,0,0
55,1036,1016,3,100,-20,0,0,3
56,1871,216,581,100,-20,0,1,1
57,1031,1016,2,100,-21,0,0,3
58,1034,1018,2,100,-21,0,1,2
59,1063,994,3,85,-23,0,1,2
60,1032,1017,2,84,-23,0,1,2
61,1034,1018,2,86,-23,0,1,2
62,1063,992,4,84,-23,0,1,2
63,1895,190,538,99,-21,0,1,1
64,1876,225,581,100,-21,0,0,0
65,1900,173,566,100,-20,0,0,0
66,1880,222,580,100,-20,0,0,0
67,1907,209,578,100,-20,0,0,0
68,1863,172,576,100,-20,0,0,0
69,1876,221,582,100,-20,0,0,0
70,1032,1015,2,100,-21,0,0,3
71,1035,1016,2,100,-21,0,1,2
72,1034,1018,2,85,-23,0,1,2
73,1034,1016,2,84,-23,0,1,2
74,1034,1017,2,84,-23,0,1,2
75,1041,1014,2,84,-23,0,1,2
76,1871,226,577,97,-21,0,1,1
77,1888,231,463,99,-20,0,0,0
78,1862,224,578,100,-20,0,0,0
79,1867,175,539,100,-20,0,0,0
80,1867,223,579,100,-20,0,0,0
81,1862,224,582,100,-20,0,0,0
82,1866,219,576,100,-20,0,0,0
83,1867,191,581,100,-20,0,0,0
84,1868,224,583,100,-20,0,0,0
85,1033,1017,2,100,-21,0,0,3
86,1076,990,4,86,-23,0,1,2
87,1036,1017,2,96,-23,0,1,2
88,1052,991,2,96,-22,0,1,2
89,1032,1017,2,88,-23,0,1,2
90,1035,1019,1,85,-23,0,1,2
91,1034,1016,2,84,-23,0,1,2
92,1043,1014,3,86,-22,0,1,2
93,1890,176,435,99,-21,0,1,1
94,1870,224,581,100,-21,0,0,0
95,1885,197,568,100,-20,0,0,0
96,1887,189,549,100,-20,0,0,0
97,1863,170,270,100,-20,0,0,0
98,1107,947,20,100,-20,0,0,3
99,1034,1016,2,100,-21,0,1,2
100,1035,1016,2,89,-23,0,1,2
101,1034,1019,2,85,-23,0,1,2
102,1031,1016,2,85,-23,0,1,2
103,1054,992,3,85,-23,0,1,2
104,1038,1017,2,85,-23,0,1,2
105,1035,1014,3,85,-23,0,1,2
106,1883,173,542,95,-21,0,1,1
107,1891,194,303,100,-20,0,0,0
108,1871,225,583,100,-20,0,0,0
109,1892,167,509,100,-20,0,0,0
110,1865,224,581,100,-20,0,0,0
111,1863,224,578,100,-20,0,0,0
112,1867,222,582,100,-20,0,0,0
113,1037,1016,3,100,-20,0,0,3
114,1869,202,582,100,-20,0,1,1
115,1870,223,581,100,-20,0,0,0
116,1033,1015,2,100,-21,0,0,3
117,1035,1016,2,100,-22,0,1,2
118,1035,1016,2,85,-24,0,1,2
119,1058,993,3,85,-24,0,1,2
120,1032,1017,2,84,-24,0,1,2
121,1034,1018,2,84,-24,0,1,2
122,1033,1016,2,85,-24,0,1,2
123,1033,1018,2,95,-22,0,1,2
124,1035,1016,3,96,-21,0,1,2
125,1864,227,576,96,-21,0,1,1
126,1883,172,575,100,-20,0,0,0
127,1865,226,578,100,-20,0,0,0
128,1891,189,533,100,-20,0,0,0
129,1883,174,553,100,-20,0,0,0
130,1035,1015,3,85,-22,0,0,3
131,1035,1017,3,86,-22,0,1,2
132,1034,1016,3,85,-22,0,1,2
133,1893,196,566,85,-20,0,1,1
134,1864,226,580,100,-20,0,0,0
135,1861,227,579,100,-20,0,0,0
136,1870,226,581,100,-20,0,0,0
137,1859,171,439,100,-20,0,0,0
138,1882,225,573,100,-20,0,0,0
139,1886,196,582,100,-21,0,0,0
140,1895,202,562,100,-21,0,0,0
141,1870,173,582,100,-20,0,0,0
142,1891,189,352,100,-20,0,0,0
143,1887,224,513,100,-20,0,0,0
144,1899,149,552,100,-20,0,0,0
145,1899,224,441,100,-20,0,0,0
146,1879,192,554,100,-20,0,0,0
147,1036,1016,2,100,-20,0,0,3
148,1035,1018,2,100,-20,0,1,2
149,1067,990,3,88,-22,0,1,2
150,1033,1017,2,85,-22,0,1,2
151,1035,1017,2,85,-22,0,1,2
152,1034,1016,2,88,-22,0,1,2
153,1055,987,4,84,-22,0,1,2
154,1860,227,486,98,-21,0,1,1
155,1863,228,580,100,-20,0,0,0
156,1863,224,578,100,-20,0,0,0
157,1036,1017,3,100,-20,0,0,3
158,1863,225,582,100,-20,0,1,1
159,1864,187,578,100,-20,0,0,0
160,1890,192,574,100,-20,0,0,0
161,1888,195,568,100,-20,0,0,0
162,1033,1015,2,100,-20,0,0,3
163,1038,1017,2,100,-20,0,1,2
164,1047,1005,2,85,-23,0,1,2
165,1033,1017,2,85,-23,0,1,2
166,1872,223,579,91,-20,0,1,1
167,1891,82,211,100,-20,0,0,0
168,1892,168,316,100,-20,0,0,0
169,1873,220,584,100,-20,0,0,0
170,1875,219,585,100,-20,0,0,0
171,1895,169,545,100,-20,0,0,0
172,1872,218,585,100,-20,0,0,0
173,1880,220,584,100,-20,0,0,0
174,1891,189,302,100,-20,0,0,0
175,1874,218,584,100,-20,0,0,0
176,1871,219,585,100,-20,0,0,0
177,1033,1013,2,100,-20,0,0,3
178,1035,1016,2,100,-19,0,1,2
179,1066,984,4,85,-21,0,1,2
180,1033,1015,2,85,-21,0,1,2
181,1037,1016,2,84,-21,0,1,2
182,1037,1014,3,84,-22,0,1,2
183,1037,1016,3,84,-22,0,1,2
184,1036,1015,3,85,-22,0,1,2
185,1034,1017,3,96,-20,0,1,2
186,1034,1015,3,96,-21,0,1,2
187,1037,1015,3,85,-22,0,1,2
188,1040,1014,3,85,-22,0,1,2
189,1035,1015,3,85,-22,0,1,2
190,1054,992,4,85,-22,0,1,2
191,1856,227,578,99,-21,0,1,1
192,1861,227,578,100,-20,0,0,0
193,1870,227,577,100,-20,0,0,0
194,1884,186,563,100,-20,0,0,0
195,1879,195,332,100,-20,0,0,0
196,1882,195,480,100,-20,0,0,0
197,1856,224,583,100,-20,0,0,0
198,1862,191,580,100,-20,0,0,0
199,1032,1020,2,100,-20,0,0,3
200,1035,1018,2,100,-20,0,1,2
201,1032,1017,2,85,-22,0,1,2
202,1036,1016,2,85,-22,0,1,2
203,1033,1018,2,85,-22,0,1,2
204,1035,1013,2,85,-22,0,1,2
205,1083,993,3,85,-22,0,1,2
206,1063,991,3,84,-22,0,1,2
207,1035,1014,2,85,-22,0,1,2
208,1034,1016,3,85,-22,0,1,2
209,1037,1015,3,85,-22,0,1,2
210,1868,230,577,99,-20,0,1,1
211,1879,181,533,100,-20,0,0,0
212,1861,198,567,100,-20,0,0,0
213,1862,230,580,100,-20,0,0,0
214,1865,227,571,100,-20,0,0,0
215,1862,183,567,100,-20,0,0,0
216,1056,992,19,100,-18,0,0,3
217,1032,1016,2,100,-18,0,1,2
218,1032,1019,2,82,-15,0,1,2
219,1032,1016,2,81,-15,0,1,2
220,1068,989,3,83,-20,0,1,2
221,1035,1016,2,100,-21,0,0,3
