,Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi
0,1089,962,40,100,-27,0
1,1066,986,25,100,-27,0
2,1067,986,22,100,-27,0
3,1072,984,25,100,-27,0
4,1068,986,25,100,-27,0
5,1069,988,26,100,-26,0
6,1064,988,6,100,-26,0
7,1068,986,21,100,-26,0
8,1064,988,19,100,-26,0
9,1064,987,25,100,-25,0
10,1058,992,20,100,-27,0
11,1058,990,20,100,-27,0
12,1058,995,21,100,-27,0
13,1057,995,11,100,-27,0
14,1065,990,21,100,-27,0
15,1030,1019,1,95,-29,0
16,1032,1016,1,85,-29,0
17,1073,995,3,86,-29,0
18,1033,1016,2,86,-29,0
19,1049,1011,2,96,-30,0
20,1035,1018,1,84,-32,0
21,1088,961,38,99,-29,0
22,1089,961,42,100,-29,0
23,1089,963,41,100,-30,0
24,1088,960,42,100,-29,0
25,1091,965,42,100,-29,0
26,1089,961,42,100,-27,0
27,1077,959,7,100,-30,0
28,1092,962,41,100,-28,0
29,1091,961,41,100,-29,0
30,1093,965,32,100,-29,0
31,1088,961,25,100,-29,0
32,1089,962,32,100,-29,0
33,1089,960,41,100,-29,0
34,1089,961,42,100,-28,0
35,1088,962,42,100,-30,0
36,1087,965,42,100,-27,0
37,1090,962,42,100,-28,0
38,1090,962,41,100,-28,0
39,1089,961,42,100,-28,0
40,1088,965,27,100,-29,0
41,1090,963,41,100,-29,0
42,1089,960,42,100,-29,0
43,1088,962,39,100,-27,0
44,1089,963,42,100,-29,0
45,1089,965,42,100,-29,0
46,1090,963,42,100,-28,0
47,1089,962,41,100,-27,0
48,1063,988,23,100,-28,0
49,1032,1016,2,96,-33,0
50,1031,1017,1,88,-32,0
51,1033,1016,2,85,-33,0
52,1036,1016,2,86,-33,0
53,1031,1016,1,85,-34,0
54,1036,1018,1,85,-34,0
55,1035,1016,1,85,-34,0
56,1033,1016,2,86,-28,0
57,1073,994,4,85,-29,0
58,1074,976,31,100,-27,0
59,1070,980,19,100,-27,0
60,1072,980,30,100,-27,0
61,1070,976,15,100,-27,0
62,1073,977,31,100,-27,0
63,1073,976,31,100,-27,0
64,1073,980,21,100,-27,0
65,1075,978,31,100,-27,0
66,1072,979,30,100,-27,0
67,1077,976,31,100,-27,0
68,1072,979,27,100,-27,0
69,1076,979,31,100,-27,0
70,1072,977,30,100,-27,0
71,1067,984,25,100,-31,0
72,1069,984,28,86,-33,0
73,1035,1017,2,86,-33,0
74,1050,996,3,96,-30,0
75,1035,1018,2,85,-33,0
76,1035,1016,2,88,-32,0
77,1034,1016,2,85,-33,0
78,1035,1016,2,88,-33,0
79,1033,1017,2,84,-33,0
80,1036,1016,2,84,-26,0
81,1104,946,52,99,-23,0
82,1104,945,52,100,-23,0
83,1105,946,47,100,-24,0
84,1105,946,50,100,-23,0
