,Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi
0,1035,1018,2,75,-6,0
1,1036,1016,2,75,-7,0
2,1035,1016,2,77,-6,0
3,1678,407,450,92,-12,0
4,1681,405,452,100,-14,0
5,1699,376,448,100,-14,0
6,1670,364,151,100,-14,0
7,1681,399,377,100,-15,0
8,1703,373,450,100,-15,0
9,1684,379,430,100,-15,0
10,1680,404,452,100,-15,0
11,1676,375,413,100,-15,0
12,1678,295,357,100,-15,0
13,1680,373,447,100,-15,0
14,1701,399,454,100,-15,0
15,1687,375,453,100,-15,0
16,1710,376,453,100,-15,0
17,1683,392,372,100,-15,0
18,1694,360,438,100,-15,0
19,1679,387,168,100,-15,0
20,1702,393,349,100,-15,0
21,1703,366,455,100,-15,0
22,1709,351,245,100,-15,0
23,1035,1019,2,78,-6,0
24,1087,999,3,76,-6,0
25,1035,1016,2,78,-6,0
26,1036,1016,2,76,-6,0
27,1034,1016,2,75,-12,0
28,1034,1017,2,77,-6,0
29,1054,994,4,77,-6,0
30,1034,1016,2,76,-6,0
31,1036,1017,2,77,-6,0
32,1710,380,456,99,-15,0
33,1707,387,309,100,-15,0
34,1707,387,466,100,-15,0
35,1711,383,456,100,-15,0
36,1703,315,293,100,-15,0
37,1715,362,424,100,-15,0
38,1709,383,450,100,-15,0
39,1710,376,466,100,-15,0
40,1695,362,464,100,-15,0
41,1696,272,447,100,-15,0
42,1154,898,57,100,-18,0
43,1154,901,82,100,-19,0
44,1057,992,12,100,-23,0
45,1063,992,20,89,-25,0
46,1034,1016,2,96,-24,0
47,1033,1018,2,86,-21,0
48,1032,1015,2,85,-24,0
49,1034,1018,2,85,-23,0
50,1034,1016,2,85,-22,0
51,1282,778,177,100,-19,0
52,1290,769,171,100,-19,0
53,1290,773,174,100,-19,0
54,1280,778,124,100,-19,0
55,1278,782,167,100,-21,0
56,1224,831,76,100,-20,0
57,1222,835,136,100,-20,0
58,1181,871,63,100,-21,0
59,1183,871,101,100,-21,0
60,1181,875,104,100,-21,0
61,1184,879,88,100,-21,0
62,1183,874,100,100,-21,0
63,1181,875,101,100,-21,0
64,1178,876,103,100,-21,0
65,1145,913,78,100,-23,0
66,1145,906,77,100,-23,0
67,1146,913,50,100,-23,0
68,1143,909,74,100,-23,0
69,1145,908,76,100,-23,0
70,1143,913,79,100,-23,0
71,1143,907,43,100,-23,0
72,1143,908,65,100,-23,0
73,1054,1002,2,85,-25,0
74,1033,1019,1,84,-25,0
75,1034,1017,1,85,-25,0
76,1034,1017,2,85,-25,0
77,1036,1015,1,84,-25,0
78,1034,1016,1,84,-25,0
79,1142,915,79,96,-23,0
80,1143,909,75,100,-23,0
81,1142,913,80,100,-23,0
82,1032,1017,1,85,-25,0
83,1031,1016,1,85,-25,0
84,1034,1017,1,92,-24,0
85,1032,1017,1,85,-25,0
86,1032,1018,1,85,-25,0
87,1034,1012,2,85,-25,0
88,1034,1016,2,84,-26,0
89,1034,1017,1,84,-26,0
90,1033,1016,1,84,-26,0
91,1035,1018,1,93,-25,0
92,1144,910,80,100,-23,0
93,1143,913,79,100,-23,0
94,1146,911,79,100,-23,0
95,1148,910,79,100,-23,0
96,1142,909,78,100,-23,0
97,1142,912,80,100,-23,0
98,1146,910,79,100,-23,0
99,1143,911,58,100,-23,0
100,1143,913,64,100,-23,0
101,1141,907,60,100,-23,0
102,1144,912,77,100,-23,0
103,1142,909,78,100,-23,0
104,1144,914,53,100,-23,0
105,1143,913,64,100,-23,0
106,1141,908,48,100,-23,0
107,1143,915,39,100,-23,0
108,1146,908,70,100,-23,0
109,1038,1013,2,88,-25,0
110,1034,1016,2,85,-25,0
111,1061,997,3,85,-25,0
